Id;Designator;Package;Quantity;Designation
1;REF**,REF**,REF**,REF**;MountingHole_2.1mm;4;MountingHole_2.1mm
2;C1,C3;C_1206_3216Metric;2;100n
3;R3,R1,R2,R4,R5,R6;R_1206_3216Metric;6;10k
4;CP1,CP2;CP_Elec_4x3.9;2;47u
5;C2;C_1206_3216Metric;1;100u
6;J3;MOLEX_105017-1001;1;105017-1001
7;S1,S2;434111043826;2;434111043826
8;U2;SOT-223-3_TabPin2;1;AMS1117-3.3
9;U1;MODULE_ESP32-WROOM-32E_(16MB);1;ESP32-WROOM-32E_(16MB)_without
10;J1;PinSocket_1x03_P2.54mm_Vertical;1;Conn_01x03_Female
11;J2,J4;PinSocket_1x04_P2.54mm_Vertical;2;Conn_01x04_Female
12;J5;PinSocket_1x02_P2.54mm_Vertical;1;Conn_01x02_Female
13;Q1,Q2;SOT-23;2;BSS138
14;D1;LED_1206_3216Metric;1;LED
15;R7;R_1206_3216Metric;1;1k
